attr	element	anim	link	page	loc	val	lnk	treatValueAs
type	animateTransform	FALSE	animate.html#AnimateTransformElementTypeAttribute	animate.html	AnimateTransformElementTypeAttribute	translate | scale | rotate | skewX | skewY	NA	ignore
values	animate	FALSE	animate.html#ValuesAttribute	animate.html	ValuesAttribute	"<list>"	NA	cmm-scln-list
values	animateColor	FALSE	animate.html#ValuesAttribute	animate.html	ValuesAttribute	"<list>"	NA	cmm-scln-list
values	animateMotion	FALSE	animate.html#ValuesAttribute	animate.html	ValuesAttribute	"<list>"	NA	cmm-scln-list
values	animateTransform	FALSE	animate.html#ValuesAttribute	animate.html	ValuesAttribute	"<list>"	NA	cmm-scln-list
xlink:href	mpath	FALSE	animate.html#MPathElementHrefAttribute	animate.html	MPathElementHrefAttribute	<iri>	types.html#DataTypeIRI	ignore
xlink:href	animate	FALSE	animate.html#HrefAttribute	animate.html	HrefAttribute	<iri>	types.html#DataTypeIRI	ignore
xlink:href	animateColor	FALSE	animate.html#HrefAttribute	animate.html	HrefAttribute	<iri>	types.html#DataTypeIRI	ignore
xlink:href	animateMotion	FALSE	animate.html#HrefAttribute	animate.html	HrefAttribute	<iri>	types.html#DataTypeIRI	ignore
xlink:href	animateTransform	FALSE	animate.html#HrefAttribute	animate.html	HrefAttribute	<iri>	types.html#DataTypeIRI	ignore
xlink:href	set	FALSE	animate.html#HrefAttribute	animate.html	HrefAttribute	<iri>	types.html#DataTypeIRI	ignore
amplitude	feFuncA	TRUE	filters.html#feComponentTransferAmplitudeAttribute	filters.html	feComponentTransferAmplitudeAttribute	<number>	types.html#DataTypeNumber	ignore
amplitude	feFuncB	TRUE	filters.html#feComponentTransferAmplitudeAttribute	filters.html	feComponentTransferAmplitudeAttribute	<number>	types.html#DataTypeNumber	ignore
amplitude	feFuncG	TRUE	filters.html#feComponentTransferAmplitudeAttribute	filters.html	feComponentTransferAmplitudeAttribute	<number>	types.html#DataTypeNumber	ignore
